X,Y,Z,formation
0,200,800,rock1
0,200,200,rock1
100,200,790,rock1
100,200,210,rock1
200,200,780,rock1
200,200,220,rock1
300,200,770,rock1
300,200,230,rock1
400,200,760,rock1
400,200,240,rock1
700,200,500,rock1
0,0,800,rock1
0,0,200,rock1
100,0,790,rock1
100,0,210,rock1
200,0,780,rock1
200,0,220,rock1
300,0,770,rock1
300,0,230,rock1
400,0,760,rock1
400,0,240,rock1
700,0,500,rock1
0,500,800,rock1
0,500,200,rock1
100,500,790,rock1
100,500,210,rock1
200,500,780,rock1
200,500,220,rock1
300,500,770,rock1
300,500,230,rock1
400,500,760,rock1
400,500,240,rock1
700,500,500,rock1
0,1000,800,rock1
0,1000,200,rock1
100,1000,790,rock1
100,1000,210,rock1
200,1000,780,rock1
200,1000,220,rock1
300,1000,770,rock1
300,1000,230,rock1
400,1000,760,rock1
400,1000,240,rock1
700,1000,500,rock1
700,800,500,rock1
0,800,800,rock1
0,800,200,rock1
100,800,790,rock1
100,800,210,rock1
200,800,780,rock1
200,800,220,rock1
300,800,770,rock1
300,800,230,rock1
400,800,760,rock1
400,800,240,rock1
