type	latitude	longitude	altitude (m)	name	desc
T	50.748210848	6.065936896	258.4	Aachen	
T	50.747450136	6.067655017	255.3		
T	50.746314692	6.069459808	242.3		
T	50.745561447	6.071162465	264.5		
T	50.744811154	6.072858400	258.4		
T	50.743691213	6.074635415	270.8		
T	50.743319368	6.076230268	261.9		
T	50.742577837	6.077906275	233.8		
T	50.741103380	6.079740249	242.0		
T	50.740370441	6.081025747	240.3		
T	50.739276315	6.082012677	262.3		
T	50.738188517	6.083737284	297.6		
T	50.737106983	6.085451896	306.3		
T	50.736389415	6.086712767	292.8		
T	50.735318204	6.088779415	263.2		
T	50.734253101	6.090466405	259.3		
T	50.733194059	6.092143732	278.7		
T	50.732842394	6.092944961	283.5		
T	50.731791355	6.094608837	283.8		
T	50.730399200	6.096691318	312.7		
T	50.730052842	6.098209354	311.1		
T	50.729017537	6.099845768	320.5		
T	50.727988090	6.102557550	301.8		
T	50.726964354	6.104172518	294.2		
T	50.726285076	6.106083744	289.7		
T	50.725608306	6.107628661	295.7		
T	50.724597832	6.109577082	294.4		
T	50.723927306	6.111108317	295.9		
T	50.722926137	6.113038027	293.1		
T	50.722261769	6.114555766	292.1		
T	50.721269736	6.115757343	287.0		
T	50.718976096	6.118887901	278.0		
T	50.717678536	6.120809381	279.0		
T	50.717033308	6.122290828	278.0		
T	50.716711570	6.123029526	277.0		
T	50.715749839	6.125237576	279.7		
T	50.714475548	6.127118710	286.4		
T	50.713525816	6.128260291	286.0		
T	50.712581194	6.129741933	277.6		
T	50.711954278	6.131186055	282.0		
T	50.711018070	6.132997879	277.0		
T	50.710396713	6.134429734	279.1		
T	50.709160580	6.136935322	277.0		
T	50.708239175	6.138033534	280.1		
T	50.707322650	6.139466919	275.9		
T	50.705805820	6.141952225	270.0		
T	50.704302219	6.144415732	261.1		
T	50.703406333	6.145816070	258.7		
T	50.702811712	6.148203872	254.5		
T	50.702515168	6.149226528	252.8		
T	50.701628567	6.150607000	254.3		
T	50.700746556	6.151980287	252.2		
T	50.699577616	6.153689147	251.4		
T	50.698416693	6.155718417	255.3		
T	50.697263698	6.157733754	257.8		
T	50.695833471	6.159739107	279.1		
T	50.694415349	6.162055629	284.5		
T	50.692729362	6.164025829	293.2		
T	50.691337329	6.166302817	297.9		
T	50.689407973	6.168553380	307.7		
T	50.688315553	6.170149808	307.7		
T	50.686421175	6.172998144	293.9		
T	50.685883941	6.173623147	299.6		
T	50.684814763	6.175185703	296.7		
T	50.683752584	6.176737977	305.4		
T	50.682697326	6.178596725	321.5		
T	50.681648926	6.180443322	342.7		
T	50.680867052	6.182607491	350.9		
T	50.679572370	6.185354835	359.1		
T	50.678288069	6.188392288	360.8		
T	50.677014057	6.191094251	364.3		
T	50.675247559	6.193727171	366.2		
T	50.673500670	6.196023174	370.5		
T	50.671773104	6.197681978	366.2		
T	50.669337995	6.199543176	402.7		
T	50.668855516	6.200093722	406.0		
T	50.668134541	6.201520909	411.3		
T	50.667178477	6.203212543	421.0		
T	50.665991758	6.204862037	426.0		
T	50.664579749	6.206764854	432.3		
T	50.663878596	6.207858720	429.3		
T	50.662948692	6.209507496	434.8		
T	50.662255011	6.210589192	436.2		
T	50.661105786	6.213070237	394.0		
T	50.660648512	6.214175335	394.0		
T	50.660192354	6.216749512	394.0		
T	50.659511192	6.217804870	394.0		
T	50.658833164	6.218562286	417.4		
T	50.657709798	6.220401113	421.4		
T	50.656372923	6.222182463	439.8		
T	50.655488354	6.223167895	450.6		
T	50.654828256	6.224481537	450.1		
T	50.654171158	6.225500736	455.8		
T	50.653952731	6.226031693	458.3		
T	50.653082445	6.227285153	468.6		
T	50.652433081	6.228292086	472.8		
T	50.652217147	6.229104487	475.0		
T	50.652001234	6.231061457	476.6		
T	50.651142260	6.232862974	482.6		
T	50.650288537	6.233799616	496.2		
T	50.649439801	6.234730766	502.0		
T	50.649017209	6.235477814	498.5		
T	50.648595681	6.236788871	491.3		
T	50.648175373	6.238096116	497.9		
T	50.647547565	6.238780523	502.8		
T	50.646714637	6.239969682	502.3		
T	50.646714551	6.240250937	502.2		
