type	latitude	longitude	altitude (m)	name	desc
T	46.577815767	8.006307151	3911.0	Eiger	
T	46.578466040	8.005965006	3895.5		
T	46.578791149	8.005782222	3832.6		
T	46.579078172	8.005570018	3724.6		
T	46.579367065	8.005356442	3648.4		
T	46.579583677	8.004946775	3557.5		
T	46.579865782	8.004991639	3476.6		
T	46.580180618	8.004516708	3264.6		
T	46.580451198	8.004277242	3195.0		
T	46.580883934	8.004005624	3087.9		
T	46.581209122	8.003799154	2977.5		
T	46.581644035	8.003241861	2851.9		
T	46.582026009	8.003069486	2764.9		
T	46.582551784	8.002720057	2670.9		
T	46.583083196	8.002370539	2581.0		
T	46.583719600	8.002508310	2531.9		
T	46.584237046	8.002427283	2460.1		
T	46.584820877	8.002395002	2388.9		
T	46.585860556	8.002389411	2303.6		
T	46.586862937	8.002514452	2246.2		
T	46.587112662	8.002544981	2239.2		
T	46.588570071	8.002404681	2146.6		
T	46.589924384	8.002470768	2045.5		
T	46.591617717	8.002634372	1957.7		
T	46.592627230	8.002760495	1887.0		
T	46.593384733	8.002855115	1851.1		
T	46.594647965	8.003012951	1806.6		
T	46.595986761	8.003354346	1749.5		
T	46.597150442	8.003728075	1699.3		
T	46.598407081	8.004179000	1673.3		
T	46.599181281	8.004286830	1649.4		
T	46.599872386	8.004204540	1627.3		
T	46.601486780	8.004476420	1570.2		
T	46.603038700	8.004694904	1499.0		
T	46.603419318	8.004954575	1483.5		
T	46.604496564	8.005136867	1446.3		
T	46.606182787	8.005473453	1398.8		
T	46.606744091	8.005585510	1393.9		
T	46.608156102	8.005874613	1374.9		
T	46.609561968	8.006160070	1331.8		
T	46.610624225	8.006333127	1298.1		
T	46.611609121	8.006011764	1225.8		
T	46.612817305	8.005580548	1195.2		
T	46.614238479	8.005032088	1192.3		
T	46.615793225	8.005147041	1162.3		
T	46.617376691	8.005292591	1138.9		
T	46.618382864	8.005307675	1119.6		
T	46.619672753	8.005386333	1100.0		
T	46.620910554	8.005414682	1064.4		
T	46.622018571	8.005639171	1042.0		
T	46.623333105	8.005748458	1020.3		
T	46.624296817	8.005727378	969.5		
T	46.625267253	8.005615965	983.5		
T	46.626474514	8.005523335	1010.9		
T	46.626948463	8.005458527	1002.3		
T	46.628455445	8.005210686	919.2		
T	46.629142041	8.005135140	926.2		
T	46.629945360	8.004757923	929.5		
T	46.631925398	8.004612152	977.0		
T	46.632932397	8.004996645	1001.5		
T	46.633556848	8.005201678	1008.9		
T	46.635302568	8.005589583	1026.9		
T	46.636919881	8.006022211	1126.7		
T	46.638068577	8.006172826	1203.7		
T	46.639770184	8.006742430	1333.1		
T	46.640878333	8.006869883	1397.2		
T	46.642359596	8.007200535	1476.4		
T	46.643445785	8.007322405	1534.5		
T	46.644659114	8.007688158	1567.7		
T	46.645807410	8.007557035	1621.5		
T	46.647050130	8.007562168	1678.4		
T	46.648331816	8.007632603	1779.3		
T	46.649044614	8.007593727	1815.9		
T	46.649949515	8.007104234	1827.1		
T	46.651295652	8.006938460	1906.0		
T	46.652498495	8.006948538	1947.8		
T	46.653425716	8.006935330	1964.9		
T	46.654522592	8.006810148	2011.9		
T	46.655328570	8.006580189	2042.9		
